station,pollutant,model,feature,importance,type
Manchester_Sharston,O3,xgboost,weekday,0.021721402183175087,Random Search
Manchester_Sharston,O3,xgboost,month_sin,0.2609249949455261,Random Search
Manchester_Sharston,O3,xgboost,month_cos,0.03724398463964462,Random Search
Manchester_Sharston,O3,xgboost,wind_u,0.06045474484562874,Random Search
Manchester_Sharston,O3,xgboost,wind_v,0.06533622741699219,Random Search
Manchester_Sharston,O3,xgboost,hour_sin,0.02853795327246189,Random Search
Manchester_Sharston,O3,xgboost,hour_cos,0.02976658195257187,Random Search
Manchester_Sharston,O3,xgboost,day_sin,0.06222233548760414,Random Search
Manchester_Sharston,O3,xgboost,day_cos,0.03579234704375267,Random Search
Manchester_Sharston,O3,xgboost,unix,0.028119415044784546,Random Search
Manchester_Sharston,O3,xgboost,temp,0.07648975402116776,Normet AutoML
Manchester_Sharston,O3,xgboost,RH,0.09971469640731812,Normet AutoML
Manchester_Sharston,O3,xgboost,sp,0.015703843906521797,Normet AutoML
Manchester_Sharston,O3,xgboost,blh_final,0.19053687155246735,Normet AutoML
Manchester_Sharston,O3,xgboost,weekday,0.020332008600234985,Normet AutoML
Manchester_Sharston,O3,xgboost,month_sin,0.23844975233078003,Normet AutoML
Manchester_Sharston,O3,xgboost,month_cos,0.03328251093626022,Normet AutoML
Manchester_Sharston,O3,xgboost,wind_u,0.06259074807167053,Normet AutoML
Manchester_Sharston,O3,xgboost,wind_v,0.07716184109449387,Normet AutoML
Manchester_Sharston,O3,xgboost,hour_sin,0.024745937436819077,Normet AutoML
Manchester_Sharston,O3,xgboost,hour_cos,0.02667960897088051,Normet AutoML
Manchester_Sharston,O3,xgboost,day_sin,0.07563046365976334,Normet AutoML
Manchester_Sharston,O3,xgboost,day_cos,0.03501144424080849,Normet AutoML
Manchester_Sharston,O3,xgboost,unix,0.023670462891459465,Normet AutoML
Salford_Eccles,NOx,xgboost,temp,0.10059074312448502,Random Search
Salford_Eccles,NOx,xgboost,RH,0.02000989206135273,Random Search
Salford_Eccles,NOx,xgboost,sp,0.0368867851793766,Random Search
Salford_Eccles,NOx,xgboost,blh_final,0.07838767766952515,Random Search
Salford_Eccles,NOx,xgboost,weekday,0.08147033303976059,Random Search
Salford_Eccles,NOx,xgboost,month_sin,0.06113286316394806,Random Search
Salford_Eccles,NOx,xgboost,month_cos,0.12970364093780518,Random Search
Salford_Eccles,NOx,xgboost,wind_u,0.05791204422712326,Random Search
Salford_Eccles,NOx,xgboost,wind_v,0.07610663771629333,Random Search
Salford_Eccles,NOx,xgboost,hour_sin,0.04674440622329712,Random Search
Salford_Eccles,NOx,xgboost,hour_cos,0.07100332528352737,Random Search
Salford_Eccles,NOx,xgboost,day_sin,0.05756068229675293,Random Search
Salford_Eccles,NOx,xgboost,day_cos,0.12329140305519104,Random Search
Salford_Eccles,NOx,xgboost,unix,0.05919952318072319,Random Search
Salford_Eccles,NOx,xgboost,temp,0.10484298318624496,Normet AutoML
