params,mean_test_score,rank_test_score,Station,Pollutant,Model
"{'subsample': 0.763157894736842, 'reg_lambda': 54.62277217684337, 'reg_alpha': 0.0031257158496882354, 'n_estimators': 285, 'min_child_weight': 1.4398479528760066, 'max_leaves': 360, 'max_depth': 40, 'learning_rate': 0.03557150206821386, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.7105263157894737}",0.5153972060766783,5,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 335, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.4781974801503731,5,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 20.565123083486515, 'reg_alpha': 0.0011768119524349979, 'n_estimators': 335, 'min_child_weight': 0.0108160363031071, 'max_leaves': 600, 'max_depth': 5, 'learning_rate': 0.13812763028320094, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.8421052631578947}",0.6093396882102036,5,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 395, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': True}",0.5869043579666164,5,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 460, 'min_samples_split': 19, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 70, 'bootstrap': True}",0.2300065806820699,5,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 64.28073117284319, 'reg_alpha': 453.4878508128582, 'n_estimators': 485, 'min_child_weight': 1.1537832996296609, 'max_leaves': 460, 'max_depth': 40, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.868421052631579}",0.2075288226105026,5,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.868421052631579, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.01873817422860384, 'n_estimators': 345, 'min_child_weight': 0.16308906755493324, 'max_leaves': 840, 'max_depth': 55, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.6578947368421053}",0.4457092735566153,5,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 455, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.4052613935767359,5,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.868421052631579, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.01873817422860384, 'n_estimators': 345, 'min_child_weight': 0.16308906755493324, 'max_leaves': 840, 'max_depth': 55, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.6578947368421053}",0.6386343474601021,5,Manchester_Sharston,O3,xgboost
"{'n_estimators': 460, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 65, 'bootstrap': True}",0.6158755148690969,5,Manchester_Sharston,O3,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 64.28073117284319, 'reg_alpha': 453.4878508128582, 'n_estimators': 485, 'min_child_weight': 1.1537832996296606, 'max_leaves': 460, 'max_depth': 40, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.868421052631579}",0.4973813363531977,5,Salford_Eccles,NOx,xgboost
"{'n_estimators': 450, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.4633295049549646,5,Salford_Eccles,NOx,randomforest
