ds,rate_of_change,type,station,pollutant
2017-07-17,0.16409037834062445,OBSERVATION,Manchester_Piccadilly,NOx
2017-07-24,0.16408689977579627,OBSERVATION,Manchester_Piccadilly,NOx
2017-07-31,0.16409808920433733,OBSERVATION,Manchester_Piccadilly,NOx
2017-08-07,0.16409343721654324,OBSERVATION,Manchester_Piccadilly,NOx
2017-08-14,0.16336706112143418,OBSERVATION,Manchester_Piccadilly,NOx
2017-08-21,0.16336220537709067,OBSERVATION,Manchester_Piccadilly,NOx
2017-08-28,0.16336508253928628,OBSERVATION,Manchester_Piccadilly,NOx
2017-09-04,0.16337155953841886,OBSERVATION,Manchester_Piccadilly,NOx
2017-09-11,0.1631131673487971,OBSERVATION,Manchester_Piccadilly,NOx
2017-09-18,0.16311229511081393,OBSERVATION,Manchester_Piccadilly,NOx
2017-09-25,0.16312116646824393,OBSERVATION,Manchester_Piccadilly,NOx
2017-10-02,0.16311753224196224,OBSERVATION,Manchester_Piccadilly,NOx
2017-10-09,0.16305329034548066,OBSERVATION,Manchester_Piccadilly,NOx
2017-10-16,0.163043161846133,OBSERVATION,Manchester_Piccadilly,NOx
2017-10-23,0.1630462433724702,OBSERVATION,Manchester_Piccadilly,NOx
2017-10-30,0.16312207172610016,OBSERVATION,Manchester_Piccadilly,NOx
2017-11-06,0.1629555357349446,OBSERVATION,Manchester_Piccadilly,NOx
2017-11-13,0.14054994532476428,OBSERVATION,Manchester_Piccadilly,NOx
2017-11-20,0.10556209572074238,OBSERVATION,Manchester_Piccadilly,NOx
2017-11-27,0.10547371461178301,OBSERVATION,Manchester_Piccadilly,NOx
2017-12-04,0.10503893349873294,OBSERVATION,Manchester_Piccadilly,NOx
2017-12-11,0.10464206024370526,OBSERVATION,Manchester_Piccadilly,NOx
2017-12-18,0.015117737004828768,OBSERVATION,Manchester_Piccadilly,NOx
2017-12-25,-0.13113258880723322,OBSERVATION,Manchester_Piccadilly,NOx
2018-01-01,-0.15705011328309126,OBSERVATION,Manchester_Piccadilly,NOx
2018-01-08,-0.15727189035042954,OBSERVATION,Manchester_Piccadilly,NOx
2018-01-15,-0.1601261533191547,OBSERVATION,Manchester_Piccadilly,NOx
2018-01-22,-0.16039060668317973,OBSERVATION,Manchester_Piccadilly,NOx
2018-01-29,-0.16055051572551093,OBSERVATION,Manchester_Piccadilly,NOx
2018-02-05,-0.160731673874551,OBSERVATION,Manchester_Piccadilly,NOx
2018-02-12,-0.16202099794440983,OBSERVATION,Manchester_Piccadilly,NOx
2018-02-19,-0.16771237749615153,OBSERVATION,Manchester_Piccadilly,NOx
2018-02-26,-0.16787852026437378,OBSERVATION,Manchester_Piccadilly,NOx
2018-03-05,-0.16802699133113919,OBSERVATION,Manchester_Piccadilly,NOx
2018-03-12,-0.16803172252247833,OBSERVATION,Manchester_Piccadilly,NOx
2018-03-19,-0.16803756253935376,OBSERVATION,Manchester_Piccadilly,NOx
2018-03-26,-0.16811488795929108,OBSERVATION,Manchester_Piccadilly,NOx
2018-04-02,-0.1681197280767961,OBSERVATION,Manchester_Piccadilly,NOx
2018-04-09,-0.16828467173376538,OBSERVATION,Manchester_Piccadilly,NOx
2018-04-16,-0.1682857741870336,OBSERVATION,Manchester_Piccadilly,NOx
2018-04-23,-0.16828528190008285,OBSERVATION,Manchester_Piccadilly,NOx
2018-04-30,-0.16836123614337595,OBSERVATION,Manchester_Piccadilly,NOx
2018-05-07,-0.1684165612501971,OBSERVATION,Manchester_Piccadilly,NOx
2018-05-14,-0.16842044147109902,OBSERVATION,Manchester_Piccadilly,NOx
2018-05-21,-0.16846883972977622,OBSERVATION,Manchester_Piccadilly,NOx
2018-05-28,-0.16846823506115527,OBSERVATION,Manchester_Piccadilly,NOx
2018-06-04,-0.16850816410870095,OBSERVATION,Manchester_Piccadilly,NOx
2018-06-11,-0.16850564628895626,OBSERVATION,Manchester_Piccadilly,NOx
2018-06-18,-0.16851673760616848,OBSERVATION,Manchester_Piccadilly,NOx
2018-06-25,-0.1685184971160112,OBSERVATION,Manchester_Piccadilly,NOx
2018-07-02,-0.16853546296039923,OBSERVATION,Manchester_Piccadilly,NOx
2018-07-09,-0.1685354835427404,OBSERVATION,Manchester_Piccadilly,NOx
2018-07-16,-0.16852166698151905,OBSERVATION,Manchester_Piccadilly,NOx
2018-07-23,-0.16852079921043384,OBSERVATION,Manchester_Piccadilly,NOx
2018-07-30,-0.1685697162445976,OBSERVATION,Manchester_Piccadilly,NOx
2018-08-06,-0.1686232822435727,OBSERVATION,Manchester_Piccadilly,NOx
2018-08-13,-0.1688601029743495,OBSERVATION,Manchester_Piccadilly,NOx
2018-08-20,-0.16901024025648326,OBSERVATION,Manchester_Piccadilly,NOx
2018-08-27,-0.16913810892010162,OBSERVATION,Manchester_Piccadilly,NOx
2018-09-03,-0.16929264602185157,OBSERVATION,Manchester_Piccadilly,NOx
2018-09-10,-0.174114560559552,OBSERVATION,Manchester_Piccadilly,NOx
2018-09-17,-0.1746280688910602,OBSERVATION,Manchester_Piccadilly,NOx
2018-09-24,-0.17803148394904156,OBSERVATION,Manchester_Piccadilly,NOx
2018-10-01,-0.17917213907077922,OBSERVATION,Manchester_Piccadilly,NOx
2018-10-08,-0.20470503787458227,OBSERVATION,Manchester_Piccadilly,NOx
2018-10-15,-0.2352872351490518,OBSERVATION,Manchester_Piccadilly,NOx
2018-10-22,-0.23693172848349064,OBSERVATION,Manchester_Piccadilly,NOx
2018-10-29,-0.23708034147992407,OBSERVATION,Manchester_Piccadilly,NOx
2018-11-05,-0.23707801486628455,OBSERVATION,Manchester_Piccadilly,NOx
2018-11-12,-0.23704859289542668,OBSERVATION,Manchester_Piccadilly,NOx
2018-11-19,-0.1558891277506902,OBSERVATION,Manchester_Piccadilly,NOx
2018-11-26,-0.008459445583930858,OBSERVATION,Manchester_Piccadilly,NOx
2018-12-03,0.19946786306548603,OBSERVATION,Manchester_Piccadilly,NOx
2018-12-10,0.43539655301984226,OBSERVATION,Manchester_Piccadilly,NOx
2018-12-17,0.6551645383654261,OBSERVATION,Manchester_Piccadilly,NOx
2018-12-24,0.7595731449247651,OBSERVATION,Manchester_Piccadilly,NOx
2018-12-31,0.7596078531642192,OBSERVATION,Manchester_Piccadilly,NOx
2019-01-07,0.7818427078402621,OBSERVATION,Manchester_Piccadilly,NOx
2019-01-14,0.781818402345678,OBSERVATION,Manchester_Piccadilly,NOx
2019-01-21,0.7817882226368695,OBSERVATION,Manchester_Piccadilly,NOx
2019-01-28,0.7708753307866161,OBSERVATION,Manchester_Piccadilly,NOx
2019-02-04,0.6920001069395951,OBSERVATION,Manchester_Piccadilly,NOx
2019-02-11,0.5476161696753721,OBSERVATION,Manchester_Piccadilly,NOx
2019-02-18,0.3887570813440746,OBSERVATION,Manchester_Piccadilly,NOx
2019-02-25,0.20130065025723098,OBSERVATION,Manchester_Piccadilly,NOx
2019-03-04,-0.022254611534506807,OBSERVATION,Manchester_Piccadilly,NOx
2019-03-11,-0.08583983038037957,OBSERVATION,Manchester_Piccadilly,NOx
2019-03-18,-0.08584449928309112,OBSERVATION,Manchester_Piccadilly,NOx
2019-03-25,-0.08584653865438696,OBSERVATION,Manchester_Piccadilly,NOx
2019-04-01,-0.08583596214813838,OBSERVATION,Manchester_Piccadilly,NOx
2019-04-08,-0.08582608923873636,OBSERVATION,Manchester_Piccadilly,NOx
2019-04-15,-0.0858065996224795,OBSERVATION,Manchester_Piccadilly,NOx
2019-04-22,-0.08577751959514757,OBSERVATION,Manchester_Piccadilly,NOx
2019-04-29,-0.08578946112938723,OBSERVATION,Manchester_Piccadilly,NOx
2019-05-06,-0.08576635748322303,OBSERVATION,Manchester_Piccadilly,NOx
2019-05-13,-0.0856940946263336,OBSERVATION,Manchester_Piccadilly,NOx
2019-05-20,-0.0856494682557738,OBSERVATION,Manchester_Piccadilly,NOx
2019-05-27,-0.08562306751962012,OBSERVATION,Manchester_Piccadilly,NOx
2019-06-03,-0.08553724922329309,OBSERVATION,Manchester_Piccadilly,NOx
2019-06-10,-0.08505928892612502,OBSERVATION,Manchester_Piccadilly,NOx
2019-06-17,-0.08343128934777155,OBSERVATION,Manchester_Piccadilly,NOx
2019-06-24,-0.08341022962424205,OBSERVATION,Manchester_Piccadilly,NOx
2019-07-01,-0.08242981333334853,OBSERVATION,Manchester_Piccadilly,NOx
2019-07-08,-0.061695822621743446,OBSERVATION,Manchester_Piccadilly,NOx
2019-07-15,-0.029673914160149195,OBSERVATION,Manchester_Piccadilly,NOx
2019-07-22,0.005889674100565401,OBSERVATION,Manchester_Piccadilly,NOx
2019-07-29,0.0405768952882255,OBSERVATION,Manchester_Piccadilly,NOx
2019-08-05,0.06811829810402514,OBSERVATION,Manchester_Piccadilly,NOx
2019-08-12,0.08495404838932075,OBSERVATION,Manchester_Piccadilly,NOx
2019-08-19,0.11630738063963975,OBSERVATION,Manchester_Piccadilly,NOx
2019-08-26,0.11633534588717964,OBSERVATION,Manchester_Piccadilly,NOx
2019-09-02,0.11633441126819832,OBSERVATION,Manchester_Piccadilly,NOx
2019-09-09,0.11636026531200372,OBSERVATION,Manchester_Piccadilly,NOx
2019-09-16,0.11635837784432113,OBSERVATION,Manchester_Piccadilly,NOx
2019-09-23,0.1081841769794849,OBSERVATION,Manchester_Piccadilly,NOx
2019-09-30,0.01605092403200814,OBSERVATION,Manchester_Piccadilly,NOx
2019-10-07,-0.12252030560759408,OBSERVATION,Manchester_Piccadilly,NOx
2019-10-14,-0.2834811828731887,OBSERVATION,Manchester_Piccadilly,NOx
2019-10-21,-0.4523135668301279,OBSERVATION,Manchester_Piccadilly,NOx
2019-10-28,-0.6031692463981173,OBSERVATION,Manchester_Piccadilly,NOx
2019-11-04,-0.731399295969581,OBSERVATION,Manchester_Piccadilly,NOx
2019-11-11,-0.8183193070746171,OBSERVATION,Manchester_Piccadilly,NOx
2019-11-18,-0.8395994487108851,OBSERVATION,Manchester_Piccadilly,NOx
2019-11-25,-0.8450601682546051,OBSERVATION,Manchester_Piccadilly,NOx
2019-12-02,-0.8451325647780976,OBSERVATION,Manchester_Piccadilly,NOx
2019-12-09,-0.845129414012483,OBSERVATION,Manchester_Piccadilly,NOx
2019-12-16,-0.8384266640851195,OBSERVATION,Manchester_Piccadilly,NOx
2019-12-23,-0.8383644118871558,OBSERVATION,Manchester_Piccadilly,NOx
2019-12-30,-0.8381140931623747,OBSERVATION,Manchester_Piccadilly,NOx
2020-01-06,-0.837535537785115,OBSERVATION,Manchester_Piccadilly,NOx
2020-01-13,-0.8175069047120829,OBSERVATION,Manchester_Piccadilly,NOx
2020-01-20,-0.8103750119734201,OBSERVATION,Manchester_Piccadilly,NOx
2020-01-27,-0.81035388756559,OBSERVATION,Manchester_Piccadilly,NOx
2020-02-03,-0.8103582246347756,OBSERVATION,Manchester_Piccadilly,NOx
2020-02-10,-0.8103593092544443,OBSERVATION,Manchester_Piccadilly,NOx
2020-02-17,-0.8103631088623331,OBSERVATION,Manchester_Piccadilly,NOx
2020-02-24,-0.8103634715800254,OBSERVATION,Manchester_Piccadilly,NOx
2020-03-02,-0.8103579658027016,OBSERVATION,Manchester_Piccadilly,NOx
2020-03-09,-0.8103609568245886,OBSERVATION,Manchester_Piccadilly,NOx
2020-03-16,-0.8103591453233037,OBSERVATION,Manchester_Piccadilly,NOx
2020-03-23,-0.8138846879139052,OBSERVATION,Manchester_Piccadilly,NOx
2020-03-30,-0.8122192891176567,OBSERVATION,Manchester_Piccadilly,NOx
2020-04-06,-0.6945318916895289,OBSERVATION,Manchester_Piccadilly,NOx
2020-04-13,-0.4926102104231873,OBSERVATION,Manchester_Piccadilly,NOx
2020-04-20,-0.25426631503124497,OBSERVATION,Manchester_Piccadilly,NOx
2020-04-27,-0.003563602455173509,OBSERVATION,Manchester_Piccadilly,NOx
2020-05-04,0.2291602184596826,OBSERVATION,Manchester_Piccadilly,NOx
2020-05-11,0.41666121392070465,OBSERVATION,Manchester_Piccadilly,NOx
2020-05-18,0.5395015816900184,OBSERVATION,Manchester_Piccadilly,NOx
2020-05-25,0.5804145087318417,OBSERVATION,Manchester_Piccadilly,NOx
2020-06-01,0.5803713390259304,OBSERVATION,Manchester_Piccadilly,NOx
2020-06-08,0.5803724064001727,OBSERVATION,Manchester_Piccadilly,NOx
2020-06-15,0.5803581153224471,OBSERVATION,Manchester_Piccadilly,NOx
2020-06-22,0.5803361985630602,OBSERVATION,Manchester_Piccadilly,NOx
2020-06-29,0.5789868946280308,OBSERVATION,Manchester_Piccadilly,NOx
2020-07-06,0.5743131070263132,OBSERVATION,Manchester_Piccadilly,NOx
2020-07-13,0.5627807628053745,OBSERVATION,Manchester_Piccadilly,NOx
2020-07-20,0.5103564428530305,OBSERVATION,Manchester_Piccadilly,NOx
2020-07-27,0.47910312105490505,OBSERVATION,Manchester_Piccadilly,NOx
2020-08-03,0.4627751934551725,OBSERVATION,Manchester_Piccadilly,NOx
2020-08-10,0.3698592207006044,OBSERVATION,Manchester_Piccadilly,NOx
2020-08-17,0.28946821719894444,OBSERVATION,Manchester_Piccadilly,NOx
2020-08-24,0.19920702624924047,OBSERVATION,Manchester_Piccadilly,NOx
2020-08-31,0.09766801665688263,OBSERVATION,Manchester_Piccadilly,NOx
2020-09-07,-0.023346464861695893,OBSERVATION,Manchester_Piccadilly,NOx
2020-09-14,-0.14384839558800877,OBSERVATION,Manchester_Piccadilly,NOx
2020-09-21,-0.2643401190438581,OBSERVATION,Manchester_Piccadilly,NOx
2020-09-28,-0.3629617935432563,OBSERVATION,Manchester_Piccadilly,NOx
2020-10-05,-0.4377745237705071,OBSERVATION,Manchester_Piccadilly,NOx
2020-10-12,-0.45773056370848053,OBSERVATION,Manchester_Piccadilly,NOx
2020-10-19,-0.45780543112046956,OBSERVATION,Manchester_Piccadilly,NOx
2020-10-26,-0.45782375742385284,OBSERVATION,Manchester_Piccadilly,NOx
2020-11-02,-0.45782734258182245,OBSERVATION,Manchester_Piccadilly,NOx
2020-11-09,-0.45783432129255175,OBSERVATION,Manchester_Piccadilly,NOx
2020-11-16,-0.45782119987080705,OBSERVATION,Manchester_Piccadilly,NOx
2020-11-23,-0.4577672454545407,OBSERVATION,Manchester_Piccadilly,NOx
2020-11-30,-0.4577653486788691,OBSERVATION,Manchester_Piccadilly,NOx
2020-12-07,-0.4576807260326703,OBSERVATION,Manchester_Piccadilly,NOx
2020-12-14,-0.3996978404558149,OBSERVATION,Manchester_Piccadilly,NOx
2020-12-21,-0.2156097187626358,OBSERVATION,Manchester_Piccadilly,NOx
2020-12-28,-0.02114201822227102,OBSERVATION,Manchester_Piccadilly,NOx
2021-01-04,0.09794377525090425,OBSERVATION,Manchester_Piccadilly,NOx
2021-01-11,0.131690712410375,OBSERVATION,Manchester_Piccadilly,NOx
2021-01-18,0.15148049535596897,OBSERVATION,Manchester_Piccadilly,NOx
2021-01-25,0.21145525684264044,OBSERVATION,Manchester_Piccadilly,NOx
2021-02-01,0.24159489603613338,OBSERVATION,Manchester_Piccadilly,NOx
2021-02-08,0.25135309514613624,OBSERVATION,Manchester_Piccadilly,NOx
2021-02-15,0.26986738244290365,OBSERVATION,Manchester_Piccadilly,NOx
2021-02-22,0.31140465419109375,OBSERVATION,Manchester_Piccadilly,NOx
2021-03-01,0.342768193711791,OBSERVATION,Manchester_Piccadilly,NOx
2021-03-08,0.34701099147233094,OBSERVATION,Manchester_Piccadilly,NOx
2021-03-15,0.34771613158440573,OBSERVATION,Manchester_Piccadilly,NOx
2021-03-22,0.3492939665825361,OBSERVATION,Manchester_Piccadilly,NOx
2021-03-29,0.34952754100925176,OBSERVATION,Manchester_Piccadilly,NOx
2021-04-05,0.3498405591076903,OBSERVATION,Manchester_Piccadilly,NOx
2021-04-12,0.3498474018429789,OBSERVATION,Manchester_Piccadilly,NOx
2021-04-19,0.3498529177790317,OBSERVATION,Manchester_Piccadilly,NOx
2021-04-26,0.34977940331634727,OBSERVATION,Manchester_Piccadilly,NOx
2021-05-03,0.3495817762226281,OBSERVATION,Manchester_Piccadilly,NOx
2021-05-10,0.3442749191287291,OBSERVATION,Manchester_Piccadilly,NOx
2021-05-17,0.30870890056554146,OBSERVATION,Manchester_Piccadilly,NOx
2021-05-24,0.23745899376900326,OBSERVATION,Manchester_Piccadilly,NOx
2021-05-31,0.16024463863452354,OBSERVATION,Manchester_Piccadilly,NOx
2021-06-07,0.08806708538268992,OBSERVATION,Manchester_Piccadilly,NOx
2021-06-14,0.04814669387221926,OBSERVATION,Manchester_Piccadilly,NOx
2021-06-21,0.0282870154274093,OBSERVATION,Manchester_Piccadilly,NOx
2021-06-28,0.003400232006796955,OBSERVATION,Manchester_Piccadilly,NOx
2021-07-05,-0.02906763695928305,OBSERVATION,Manchester_Piccadilly,NOx
2021-07-12,-0.056856444567152664,OBSERVATION,Manchester_Piccadilly,NOx
2021-07-19,-0.06679324952253296,OBSERVATION,Manchester_Piccadilly,NOx
2021-07-26,-0.06952242476496906,OBSERVATION,Manchester_Piccadilly,NOx
2021-08-02,-0.07053373486908754,OBSERVATION,Manchester_Piccadilly,NOx
2021-08-09,-0.07086707272645043,OBSERVATION,Manchester_Piccadilly,NOx
2021-08-16,-0.07095874713831307,OBSERVATION,Manchester_Piccadilly,NOx
2021-08-23,-0.07095789224538152,OBSERVATION,Manchester_Piccadilly,NOx
2021-08-30,-0.07096224183062816,OBSERVATION,Manchester_Piccadilly,NOx
2021-09-06,-0.07097742106243743,OBSERVATION,Manchester_Piccadilly,NOx
2021-09-13,-0.07097504544909583,OBSERVATION,Manchester_Piccadilly,NOx
2021-09-20,-0.07096959847789464,OBSERVATION,Manchester_Piccadilly,NOx
2021-09-27,-0.07094440484904396,OBSERVATION,Manchester_Piccadilly,NOx
2021-10-04,-0.07093653930888877,OBSERVATION,Manchester_Piccadilly,NOx
2021-10-11,-0.06967492364156413,OBSERVATION,Manchester_Piccadilly,NOx
2021-10-18,-0.06482090327405388,OBSERVATION,Manchester_Piccadilly,NOx
2021-10-25,-0.063731192524898,OBSERVATION,Manchester_Piccadilly,NOx
2021-11-01,-0.06286224030470322,OBSERVATION,Manchester_Piccadilly,NOx
2021-11-08,-0.06276361522775886,OBSERVATION,Manchester_Piccadilly,NOx
2021-11-15,-0.0626955269014644,OBSERVATION,Manchester_Piccadilly,NOx
2021-11-22,-0.06268498322858562,OBSERVATION,Manchester_Piccadilly,NOx
2021-11-29,-0.0626773253211752,OBSERVATION,Manchester_Piccadilly,NOx
2021-12-06,-0.06267291157593746,OBSERVATION,Manchester_Piccadilly,NOx
2021-12-13,-0.06266738951559603,OBSERVATION,Manchester_Piccadilly,NOx
2021-12-20,-0.06270320804254226,OBSERVATION,Manchester_Piccadilly,NOx
2021-12-27,-0.06278608062795854,OBSERVATION,Manchester_Piccadilly,NOx
2022-01-03,-0.06278613623347695,OBSERVATION,Manchester_Piccadilly,NOx
2022-01-10,-0.0627938764309377,OBSERVATION,Manchester_Piccadilly,NOx
2022-01-17,-0.06291531232690772,OBSERVATION,Manchester_Piccadilly,NOx
2022-01-24,-0.06292712641606357,OBSERVATION,Manchester_Piccadilly,NOx
2022-01-31,-0.06284929306293918,OBSERVATION,Manchester_Piccadilly,NOx
2022-02-07,-0.05079854102071124,OBSERVATION,Manchester_Piccadilly,NOx
2022-02-14,0.02972661517762276,OBSERVATION,Manchester_Piccadilly,NOx
2022-02-21,0.12706873542315833,OBSERVATION,Manchester_Piccadilly,NOx
2022-02-28,0.1976449623731611,OBSERVATION,Manchester_Piccadilly,NOx
2022-03-07,0.1986311475241891,OBSERVATION,Manchester_Piccadilly,NOx
2022-03-14,0.19867108274056022,OBSERVATION,Manchester_Piccadilly,NOx
2022-03-21,0.19864183040479588,OBSERVATION,Manchester_Piccadilly,NOx
2022-03-28,0.176688810921803,OBSERVATION,Manchester_Piccadilly,NOx
2022-04-04,0.05926666962768934,OBSERVATION,Manchester_Piccadilly,NOx
2022-04-11,0.007244852727879447,OBSERVATION,Manchester_Piccadilly,NOx
2022-04-18,-0.10188461045565589,OBSERVATION,Manchester_Piccadilly,NOx
2022-04-25,-0.13303185305594667,OBSERVATION,Manchester_Piccadilly,NOx
2022-05-02,-0.1330476841677637,OBSERVATION,Manchester_Piccadilly,NOx
2022-05-09,-0.13306342343852862,OBSERVATION,Manchester_Piccadilly,NOx
2022-05-16,-0.1331016277934367,OBSERVATION,Manchester_Piccadilly,NOx
2022-05-23,-0.13306047523857245,OBSERVATION,Manchester_Piccadilly,NOx
2022-05-30,-0.1330546171645608,OBSERVATION,Manchester_Piccadilly,NOx
2022-06-06,-0.1330364020231869,OBSERVATION,Manchester_Piccadilly,NOx
2022-06-13,-0.13303252250707231,OBSERVATION,Manchester_Piccadilly,NOx
2022-06-20,-0.13300735745399095,OBSERVATION,Manchester_Piccadilly,NOx
2022-06-27,-0.13301932839493702,OBSERVATION,Manchester_Piccadilly,NOx
2022-07-04,-0.1330260533577885,OBSERVATION,Manchester_Piccadilly,NOx
2022-07-11,-0.13303145711105913,OBSERVATION,Manchester_Piccadilly,NOx
2022-07-18,-0.13304421568869174,OBSERVATION,Manchester_Piccadilly,NOx
2022-07-25,-0.13305887063135202,OBSERVATION,Manchester_Piccadilly,NOx
2022-08-01,-0.13306101337315113,OBSERVATION,Manchester_Piccadilly,NOx
